# eta   f(eta)   f'(eta)
0 0.2 0
0.01 0.2 0.00404193
0.02 0.20004 0.00807982
0.03 0.200121 0.0121137
0.04 0.200242 0.0161435
0.05 0.200404 0.0201693
0.06 0.200605 0.024191
0.07 0.200847 0.0282087
0.08 0.201129 0.0322224
0.09 0.201452 0.0362321
0.1 0.201814 0.0402377
0.11 0.202216 0.0442393
0.12 0.202659 0.0482369
0.13 0.203141 0.0522304
0.14 0.203663 0.0562199
0.15 0.204226 0.0602053
0.16 0.204828 0.0641867
0.17 0.20547 0.0681639
0.18 0.206151 0.0721372
0.19 0.206873 0.0761063
0.2 0.207634 0.0800714
0.21 0.208434 0.0840323
0.22 0.209275 0.0879891
0.23 0.210155 0.0919418
0.24 0.211074 0.0958904
0.25 0.212033 0.0998348
0.26 0.213031 0.103775
0.27 0.214069 0.107711
0.28 0.215146 0.111643
0.29 0.216263 0.115571
0.3 0.217418 0.119494
0.31 0.218613 0.123413
0.32 0.219847 0.127328
0.33 0.221121 0.131239
0.34 0.222433 0.135145
0.35 0.223784 0.139048
0.36 0.225175 0.142945
0.37 0.226604 0.146839
0.38 0.228073 0.150728
0.39 0.22958 0.154612
0.4 0.231126 0.158492
0.41 0.232711 0.162368
0.42 0.234335 0.166239
0.43 0.235997 0.170106
0.44 0.237698 0.173968
0.45 0.239438 0.177826
0.46 0.241216 0.181679
0.47 0.243033 0.185527
0.48 0.244888 0.189371
0.49 0.246782 0.19321
0.5 0.248714 0.197044
0.51 0.250684 0.200874
0.52 0.252693 0.204699
0.53 0.25474 0.208519
0.54 0.256825 0.212334
0.55 0.258949 0.216145
0.56 0.26111 0.21995
0.57 0.26331 0.223751
0.58 0.265547 0.227547
0.59 0.267823 0.231337
0.6 0.270136 0.235123
0.61 0.272487 0.238903
0.62 0.274876 0.242679
0.63 0.277303 0.246449
0.64 0.279768 0.250214
0.65 0.28227 0.253974
0.66 0.284809 0.257729
0.67 0.287387 0.261478
0.68 0.290002 0.265222
0.69 0.292654 0.268961
0.7 0.295343 0.272694
0.71 0.29807 0.276422
0.72 0.300835 0.280144
0.73 0.303636 0.283861
0.74 0.306475 0.287572
0.75 0.30935 0.291277
0.76 0.312263 0.294977
0.77 0.315213 0.298671
0.78 0.3182 0.302359
0.79 0.321223 0.306042
0.8 0.324284 0.309718
0.81 0.327381 0.313389
0.82 0.330515 0.317054
0.83 0.333685 0.320713
0.84 0.336892 0.324365
0.85 0.340136 0.328012
0.86 0.343416 0.331652
0.87 0.346733 0.335287
0.88 0.350085 0.338915
0.89 0.353475 0.342536
0.9 0.3569 0.346152
0.91 0.360361 0.349761
0.92 0.363859 0.353363
0.93 0.367393 0.35696
0.94 0.370962 0.360549
0.95 0.374568 0.364132
0.96 0.378209 0.367708
0.97 0.381886 0.371278
0.98 0.385599 0.374841
0.99 0.389347 0.378397
1 0.393131 0.381946
1.01 0.396951 0.385488
1.02 0.400806 0.389024
1.03 0.404696 0.392552
1.04 0.408621 0.396073
1.05 0.412582 0.399587
1.06 0.416578 0.403094
1.07 0.420609 0.406594
1.08 0.424675 0.410086
1.09 0.428776 0.413572
1.1 0.432912 0.417049
1.11 0.437082 0.420519
1.12 0.441287 0.423982
1.13 0.445527 0.427437
1.14 0.449801 0.430885
1.15 0.45411 0.434325
1.16 0.458453 0.437757
1.17 0.462831 0.441181
1.18 0.467243 0.444597
1.19 0.471689 0.448006
1.2 0.476169 0.451407
1.21 0.480683 0.454799
1.22 0.485231 0.458184
1.23 0.489813 0.46156
1.24 0.494428 0.464928
1.25 0.499078 0.468288
1.26 0.503761 0.47164
1.27 0.508477 0.474983
1.28 0.513227 0.478318
1.29 0.51801 0.481644
1.3 0.522826 0.484962
1.31 0.527676 0.488271
1.32 0.532559 0.491572
1.33 0.537474 0.494864
1.34 0.542423 0.498147
1.35 0.547405 0.501421
1.36 0.552419 0.504686
1.37 0.557466 0.507943
1.38 0.562545 0.51119
1.39 0.567657 0.514429
1.4 0.572801 0.517658
1.41 0.577978 0.520878
1.42 0.583187 0.524089
1.43 0.588428 0.527291
1.44 0.5937 0.530483
1.45 0.599005 0.533666
1.46 0.604342 0.536839
1.47 0.60971 0.540003
1.48 0.61511 0.543158
1.49 0.620542 0.546302
1.5 0.626005 0.549437
1.51 0.631499 0.552563
1.52 0.637025 0.555678
1.53 0.642582 0.558784
1.54 0.64817 0.56188
1.55 0.653788 0.564966
1.56 0.659438 0.568042
1.57 0.665118 0.571108
1.58 0.67083 0.574163
1.59 0.676571 0.577209
1.6 0.682343 0.580244
1.61 0.688146 0.58327
1.62 0.693978 0.586284
1.63 0.699841 0.589289
1.64 0.705734 0.592283
1.65 0.711657 0.595266
1.66 0.71761 0.598239
1.67 0.723592 0.601202
1.68 0.729604 0.604153
1.69 0.735646 0.607094
1.7 0.741716 0.610025
1.71 0.747817 0.612944
1.72 0.753946 0.615853
1.73 0.760105 0.618751
1.74 0.766292 0.621638
1.75 0.772509 0.624514
1.76 0.778754 0.627379
1.77 0.785028 0.630233
1.78 0.79133 0.633076
1.79 0.797661 0.635907
1.8 0.80402 0.638728
1.81 0.810407 0.641537
1.82 0.816822 0.644335
1.83 0.823266 0.647121
1.84 0.829737 0.649896
1.85 0.836236 0.65266
1.86 0.842762 0.655412
1.87 0.849317 0.658153
1.88 0.855898 0.660882
1.89 0.862507 0.6636
1.9 0.869143 0.666306
1.91 0.875806 0.669
1.92 0.882496 0.671683
1.93 0.889213 0.674354
1.94 0.895956 0.677013
1.95 0.902726 0.67966
1.96 0.909523 0.682296
1.97 0.916346 0.684919
1.98 0.923195 0.687531
1.99 0.930071 0.69013
2 0.936972 0.692718
2.01 0.943899 0.695294
2.02 0.950852 0.697857
2.03 0.957831 0.700408
2.04 0.964835 0.702948
2.05 0.971864 0.705475
2.06 0.978919 0.70799
2.07 0.985999 0.710493
2.08 0.993104 0.712983
2.09 1.00023 0.715461
2.1 1.00739 0.717927
2.11 1.01457 0.720381
2.12 1.02177 0.722822
2.13 1.029 0.725251
2.14 1.03625 0.727667
2.15 1.04353 0.730071
2.16 1.05083 0.732462
2.17 1.05815 0.734842
2.18 1.0655 0.737208
2.19 1.07287 0.739562
2.2 1.08027 0.741904
2.21 1.08769 0.744232
2.22 1.09513 0.746549
2.23 1.1026 0.748853
2.24 1.11009 0.751144
2.25 1.1176 0.753422
2.26 1.12513 0.755688
2.27 1.13269 0.757941
2.28 1.14027 0.760182
2.29 1.14787 0.762409
2.3 1.15549 0.764625
2.31 1.16314 0.766827
2.32 1.17081 0.769017
2.33 1.1785 0.771194
2.34 1.18621 0.773358
2.35 1.19394 0.775509
2.36 1.2017 0.777648
2.37 1.20948 0.779774
2.38 1.21727 0.781887
2.39 1.22509 0.783987
2.4 1.23293 0.786075
2.41 1.24079 0.78815
2.42 1.24867 0.790212
2.43 1.25658 0.792261
2.44 1.2645 0.794297
2.45 1.27244 0.796321
2.46 1.2804 0.798332
2.47 1.28839 0.80033
2.48 1.29639 0.802315
2.49 1.30441 0.804288
2.5 1.31246 0.806247
2.51 1.32052 0.808194
2.52 1.3286 0.810128
2.53 1.3367 0.81205
2.54 1.34482 0.813958
2.55 1.35296 0.815854
2.56 1.36112 0.817737
2.57 1.3693 0.819607
2.58 1.3775 0.821465
2.59 1.38571 0.82331
2.6 1.39394 0.825142
2.61 1.40219 0.826962
2.62 1.41046 0.828768
2.63 1.41875 0.830562
2.64 1.42706 0.832344
2.65 1.43538 0.834113
2.66 1.44372 0.835869
2.67 1.45208 0.837613
2.68 1.46046 0.839344
2.69 1.46885 0.841062
2.7 1.47726 0.842768
2.71 1.48569 0.844461
2.72 1.49413 0.846142
2.73 1.50259 0.847811
2.74 1.51107 0.849467
2.75 1.51957 0.85111
2.76 1.52808 0.852741
2.77 1.53661 0.85436
2.78 1.54515 0.855966
2.79 1.55371 0.85756
2.8 1.56228 0.859142
2.81 1.57088 0.860711
2.82 1.57948 0.862268
2.83 1.58811 0.863813
2.84 1.59674 0.865346
2.85 1.6054 0.866866
2.86 1.61407 0.868375
2.87 1.62275 0.869871
2.88 1.63145 0.871355
2.89 1.64016 0.872827
2.9 1.64889 0.874288
2.91 1.65763 0.875736
2.92 1.66639 0.877172
2.93 1.67516 0.878596
2.94 1.68395 0.880009
2.95 1.69275 0.881409
2.96 1.70156 0.882798
2.97 1.71039 0.884175
2.98 1.71923 0.885541
2.99 1.72809 0.886894
3 1.73696 0.888236
3.01 1.74584 0.889567
3.02 1.75473 0.890886
3.03 1.76364 0.892193
3.04 1.77257 0.893489
3.05 1.7815 0.894773
3.06 1.79045 0.896047
