# eta   f(eta)   f'(eta)
0 -0.5 0
0.01 -0.499992 0.00164737
0.02 -0.499967 0.00329885
0.03 -0.499926 0.00495448
0.04 -0.499868 0.00661424
0.05 -0.499793 0.00827816
0.06 -0.499702 0.00994624
0.07 -0.499595 0.0116185
0.08 -0.49947 0.0132949
0.09 -0.499329 0.0149756
0.1 -0.49917 0.0166604
0.11 -0.498995 0.0183494
0.12 -0.498803 0.0200427
0.13 -0.498595 0.0217402
0.14 -0.498369 0.0234419
0.15 -0.498126 0.0251479
0.16 -0.497866 0.0268581
0.17 -0.497589 0.0285726
0.18 -0.497294 0.0302914
0.19 -0.496983 0.0320144
0.2 -0.496654 0.0337417
0.21 -0.496308 0.0354733
0.22 -0.495944 0.0372093
0.23 -0.495564 0.0389495
0.24 -0.495165 0.040694
0.25 -0.49475 0.0424429
0.26 -0.494317 0.0441961
0.27 -0.493866 0.0459537
0.28 -0.493397 0.0477156
0.29 -0.492911 0.0494818
0.3 -0.492408 0.0512524
0.31 -0.491886 0.0530274
0.32 -0.491347 0.0548067
0.33 -0.49079 0.0565904
0.34 -0.490215 0.0583785
0.35 -0.489623 0.060171
0.36 -0.489012 0.0619679
0.37 -0.488383 0.0637691
0.38 -0.487737 0.0655748
0.39 -0.487072 0.0673849
0.4 -0.486389 0.0691994
0.41 -0.485688 0.0710183
0.42 -0.484968 0.0728417
0.43 -0.484231 0.0746694
0.44 -0.483475 0.0765016
0.45 -0.482701 0.0783383
0.46 -0.481908 0.0801793
0.47 -0.481097 0.0820249
0.48 -0.480268 0.0838748
0.49 -0.47942 0.0857292
0.5 -0.478553 0.0875881
0.51 -0.477668 0.0894514
0.52 -0.476764 0.0913192
0.53 -0.475842 0.0931914
0.54 -0.4749 0.0950681
0.55 -0.47394 0.0969492
0.56 -0.472961 0.0988348
0.57 -0.471964 0.100725
0.58 -0.470947 0.102619
0.59 -0.469911 0.104518
0.6 -0.468856 0.106422
0.61 -0.467783 0.10833
0.62 -0.46669 0.110242
0.63 -0.465578 0.112159
0.64 -0.464447 0.11408
0.65 -0.463296 0.116006
0.66 -0.462126 0.117937
0.67 -0.460937 0.119871
0.68 -0.459729 0.12181
0.69 -0.458501 0.123754
0.7 -0.457254 0.125702
0.71 -0.455987 0.127655
0.72 -0.454701 0.129612
0.73 -0.453395 0.131573
0.74 -0.452069 0.133539
0.75 -0.450724 0.13551
0.76 -0.449359 0.137485
0.77 -0.447974 0.139464
0.78 -0.44657 0.141448
0.79 -0.445145 0.143436
0.8 -0.443701 0.145428
0.81 -0.442237 0.147425
0.82 -0.440753 0.149427
0.83 -0.439248 0.151433
0.84 -0.437724 0.153443
0.85 -0.436179 0.155458
0.86 -0.434615 0.157477
0.87 -0.43303 0.1595
0.88 -0.431425 0.161528
0.89 -0.429799 0.16356
0.9 -0.428154 0.165597
0.91 -0.426487 0.167638
0.92 -0.424801 0.169683
0.93 -0.423094 0.171733
0.94 -0.421366 0.173787
0.95 -0.419618 0.175845
0.96 -0.417849 0.177908
0.97 -0.41606 0.179975
0.98 -0.41425 0.182046
0.99 -0.412419 0.184121
1 -0.410567 0.186201
1.01 -0.408695 0.188285
1.02 -0.406801 0.190374
1.03 -0.404887 0.192466
1.04 -0.402952 0.194563
1.05 -0.400996 0.196664
1.06 -0.399019 0.19877
1.07 -0.397021 0.200879
1.08 -0.395001 0.202993
1.09 -0.392961 0.205111
1.1 -0.390899 0.207233
1.11 -0.388816 0.209359
1.12 -0.386712 0.21149
1.13 -0.384586 0.213624
1.14 -0.382439 0.215763
1.15 -0.380271 0.217905
1.16 -0.378081 0.220052
1.17 -0.37587 0.222203
1.18 -0.373637 0.224358
1.19 -0.371383 0.226517
1.2 -0.369107 0.22868
1.21 -0.366809 0.230847
1.22 -0.36449 0.233017
1.23 -0.362149 0.235192
1.24 -0.359786 0.237371
1.25 -0.357401 0.239554
1.26 -0.354995 0.24174
1.27 -0.352567 0.243931
1.28 -0.350116 0.246125
1.29 -0.347644 0.248323
1.3 -0.34515 0.250525
1.31 -0.342633 0.252731
1.32 -0.340095 0.254941
1.33 -0.337535 0.257154
1.34 -0.334952 0.259371
1.35 -0.332347 0.261592
1.36 -0.32972 0.263817
1.37 -0.327071 0.266045
1.38 -0.324399 0.268277
1.39 -0.321705 0.270512
1.4 -0.318989 0.272751
1.41 -0.31625 0.274994
1.42 -0.313489 0.27724
1.43 -0.310705 0.27949
1.44 -0.307899 0.281743
1.45 -0.305071 0.284
1.46 -0.302219 0.28626
1.47 -0.299345 0.288523
1.48 -0.296449 0.29079
1.49 -0.29353 0.293061
1.5 -0.290588 0.295334
1.51 -0.287623 0.297611
1.52 -0.284635 0.299891
1.53 -0.281625 0.302175
1.54 -0.278592 0.304462
1.55 -0.275536 0.306751
1.56 -0.272457 0.309045
1.57 -0.269355 0.311341
1.58 -0.26623 0.31364
1.59 -0.263082 0.315942
1.6 -0.259911 0.318248
1.61 -0.256717 0.320556
1.62 -0.2535 0.322867
1.63 -0.25026 0.325181
1.64 -0.246996 0.327499
1.65 -0.24371 0.329819
1.66 -0.2404 0.332141
1.67 -0.237067 0.334467
1.68 -0.233711 0.336795
1.69 -0.230331 0.339126
1.7 -0.226928 0.34146
1.71 -0.223502 0.343797
1.72 -0.220052 0.346136
1.73 -0.216579 0.348477
1.74 -0.213083 0.350821
1.75 -0.209563 0.353168
1.76 -0.206019 0.355517
1.77 -0.202452 0.357869
1.78 -0.198862 0.360223
1.79 -0.195248 0.362579
1.8 -0.19161 0.364937
1.81 -0.187949 0.367298
1.82 -0.184264 0.369661
1.83 -0.180556 0.372027
1.84 -0.176824 0.374394
1.85 -0.173068 0.376763
1.86 -0.169288 0.379135
1.87 -0.165485 0.381508
1.88 -0.161658 0.383884
1.89 -0.157808 0.386261
1.9 -0.153933 0.388641
1.91 -0.150035 0.391022
1.92 -0.146113 0.393405
1.93 -0.142167 0.395789
1.94 -0.138197 0.398175
1.95 -0.134203 0.400563
1.96 -0.130186 0.402953
1.97 -0.126144 0.405344
1.98 -0.122079 0.407737
1.99 -0.117989 0.410131
2 -0.113876 0.412526
2.01 -0.109739 0.414923
2.02 -0.105578 0.417321
2.03 -0.101392 0.419721
2.04 -0.0971832 0.422122
2.05 -0.0929499 0.424523
2.06 -0.0886927 0.426926
2.07 -0.0844114 0.42933
2.08 -0.0801061 0.431735
2.09 -0.0757767 0.434142
2.1 -0.0714232 0.436548
2.11 -0.0670457 0.438956
2.12 -0.0626441 0.441365
2.13 -0.0582184 0.443774
2.14 -0.0537686 0.446184
2.15 -0.0492947 0.448595
2.16 -0.0447967 0.451006
2.17 -0.0402746 0.453418
2.18 -0.0357284 0.45583
2.19 -0.031158 0.458243
2.2 -0.0265635 0.460656
2.21 -0.0219449 0.46307
2.22 -0.0173021 0.465483
2.23 -0.0126352 0.467897
2.24 -0.00794418 0.470311
2.25 -0.00322899 0.472725
2.26 0.00151033 0.47514
2.27 0.0062738 0.477554
2.28 0.0110614 0.479968
2.29 0.0158732 0.482382
2.3 0.020709 0.484796
2.31 0.0255691 0.487209
2.32 0.0304532 0.489622
2.33 0.0353615 0.492035
2.34 0.0402939 0.494448
2.35 0.0452505 0.49686
2.36 0.0502311 0.499271
2.37 0.0552359 0.501682
2.38 0.0602647 0.504092
2.39 0.0653177 0.506501
2.4 0.0703948 0.50891
2.41 0.0754959 0.511318
2.42 0.0806211 0.513724
2.43 0.0857704 0.51613
2.44 0.0909437 0.518535
2.45 0.0961411 0.520939
2.46 0.101363 0.523342
2.47 0.106608 0.525743
2.48 0.111877 0.528143
2.49 0.117171 0.530542
2.5 0.122488 0.532939
2.51 0.12783 0.535335
2.52 0.133195 0.537729
2.53 0.138584 0.540122
2.54 0.143997 0.542513
2.55 0.149434 0.544903
2.56 0.154895 0.54729
2.57 0.16038 0.549676
2.58 0.165889 0.55206
2.59 0.171421 0.554442
2.6 0.176978 0.556822
2.61 0.182558 0.559199
2.62 0.188162 0.561575
2.63 0.193789 0.563948
2.64 0.199441 0.566319
2.65 0.205116 0.568688
2.66 0.210814 0.571054
2.67 0.216537 0.573418
2.68 0.222283 0.575779
2.69 0.228052 0.578138
2.7 0.233845 0.580493
2.71 0.239662 0.582847
2.72 0.245502 0.585197
2.73 0.251366 0.587544
2.74 0.257253 0.589889
2.75 0.263164 0.59223
2.76 0.269098 0.594569
2.77 0.275055 0.596904
2.78 0.281036 0.599236
2.79 0.28704 0.601565
2.8 0.293067 0.60389
2.81 0.299118 0.606212
2.82 0.305191 0.60853
2.83 0.311288 0.610845
2.84 0.317408 0.613157
2.85 0.323551 0.615465
2.86 0.329718 0.617769
2.87 0.335907 0.620069
2.88 0.342119 0.622365
2.89 0.348354 0.624657
2.9 0.354612 0.626946
2.91 0.360893 0.62923
2.92 0.367197 0.631511
2.93 0.373523 0.633787
2.94 0.379872 0.636058
2.95 0.386244 0.638326
2.96 0.392639 0.640589
2.97 0.399056 0.642848
2.98 0.405496 0.645102
2.99 0.411958 0.647352
3 0.418443 0.649597
3.01 0.42495 0.651837
3.02 0.43148 0.654072
3.03 0.438031 0.656303
3.04 0.444606 0.658529
3.05 0.451202 0.66075
3.06 0.457821 0.662966
3.07 0.464461 0.665177
3.08 0.471124 0.667382
3.09 0.477809 0.669583
3.1 0.484516 0.671778
3.11 0.491245 0.673968
3.12 0.497995 0.676153
3.13 0.504768 0.678332
3.14 0.511562 0.680506
3.15 0.518378 0.682674
3.16 0.525215 0.684836
3.17 0.532074 0.686993
3.18 0.538955 0.689144
3.19 0.545857 0.691289
3.2 0.552781 0.693429
3.21 0.559726 0.695563
3.22 0.566692 0.69769
3.23 0.57368 0.699812
3.24 0.580688 0.701927
3.25 0.587718 0.704037
3.26 0.594769 0.70614
3.27 0.601841 0.708237
3.28 0.608934 0.710327
3.29 0.616047 0.712412
3.3 0.623182 0.714489
3.31 0.630337 0.716561
3.32 0.637513 0.718626
3.33 0.64471 0.720684
3.34 0.651927 0.722736
3.35 0.659164 0.724781
3.36 0.666422 0.726819
3.37 0.673701 0.72885
3.38 0.680999 0.730875
3.39 0.688318 0.732893
3.4 0.695657 0.734904
3.41 0.703016 0.736908
3.42 0.710395 0.738904
3.43 0.717794 0.740894
3.44 0.725213 0.742877
3.45 0.732652 0.744852
3.46 0.74011 0.746821
3.47 0.747588 0.748781
3.48 0.755086 0.750735
3.49 0.762603 0.752681
3.5 0.770139 0.75462
3.51 0.777695 0.756552
3.52 0.78527 0.758476
3.53 0.792865 0.760392
3.54 0.800478 0.762301
3.55 0.808111 0.764202
3.56 0.815762 0.766096
3.57 0.823433 0.767981
3.58 0.831122 0.769859
3.59 0.83883 0.77173
3.6 0.846556 0.773592
3.61 0.854302 0.775447
3.62 0.862065 0.777293
3.63 0.869847 0.779132
3.64 0.877648 0.780963
3.65 0.885467 0.782786
3.66 0.893304 0.7846
3.67 0.901159 0.786407
3.68 0.909032 0.788205
3.69 0.916923 0.789996
3.7 0.924832 0.791778
3.71 0.932758 0.793552
3.72 0.940703 0.795317
3.73 0.948665 0.797075
3.74 0.956644 0.798824
3.75 0.964641 0.800564
3.76 0.972655 0.802297
3.77 0.980687 0.804021
3.78 0.988736 0.805736
3.79 0.996802 0.807443
3.8 1.00488 0.809142
3.81 1.01298 0.810832
3.82 1.0211 0.812513
3.83 1.02923 0.814186
3.84 1.03738 0.815851
3.85 1.04555 0.817506
3.86 1.05373 0.819153
3.87 1.06193 0.820792
3.88 1.07015 0.822422
3.89 1.07838 0.824043
3.9 1.08663 0.825655
3.91 1.0949 0.827259
3.92 1.10318 0.828854
3.93 1.11147 0.83044
3.94 1.11979 0.832017
3.95 1.12811 0.833585
3.96 1.13646 0.835145
3.97 1.14482 0.836696
3.98 1.15319 0.838238
3.99 1.16158 0.839771
4 1.16999 0.841295
4.01 1.17841 0.842811
4.02 1.18684 0.844317
4.03 1.19529 0.845815
4.04 1.20376 0.847303
4.05 1.21224 0.848783
4.06 1.22073 0.850254
4.07 1.22924 0.851715
4.08 1.23777 0.853168
4.09 1.24631 0.854612
4.1 1.25486 0.856047
4.11 1.26343 0.857473
4.12 1.27201 0.85889
4.13 1.28061 0.860298
4.14 1.28922 0.861697
4.15 1.29784 0.863087
4.16 1.30648 0.864468
4.17 1.31513 0.86584
4.18 1.32379 0.867203
4.19 1.33247 0.868557
4.2 1.34117 0.869902
4.21 1.34987 0.871238
4.22 1.35859 0.872565
4.23 1.36732 0.873883
4.24 1.37607 0.875192
4.25 1.38483 0.876492
4.26 1.3936 0.877783
4.27 1.40238 0.879066
4.28 1.41118 0.880339
4.29 1.41999 0.881603
4.3 1.42881 0.882858
4.31 1.43765 0.884105
4.32 1.44649 0.885342
4.33 1.45535 0.886571
4.34 1.46422 0.88779
4.35 1.47311 0.889001
4.36 1.482 0.890203
4.37 1.49091 0.891396
4.38 1.49983 0.89258
4.39 1.50876 0.893755
4.4 1.51771 0.894922
4.41 1.52666 0.896079
4.42 1.53563 0.897228
4.43 1.54461 0.898368
4.44 1.5536 0.899499
4.45 1.5626 0.900622
4.46 1.57161 0.901736
