# eta   f(eta)   f'(eta)
0 0 0
0.01 1.6603e-05 0.00332059
0.02 6.64118e-05 0.00664118
0.03 0.000149427 0.00996177
0.04 0.000265647 0.0132824
0.05 0.000415074 0.0166029
0.06 0.000597706 0.0199235
0.07 0.000813544 0.0232441
0.08 0.00106259 0.0265646
0.09 0.00134484 0.0298852
0.1 0.00166029 0.0332057
0.11 0.00200895 0.0365262
0.12 0.00239081 0.0398466
0.13 0.00280588 0.043167
0.14 0.00325416 0.0464874
0.15 0.00373563 0.0498077
0.16 0.00425031 0.053128
0.17 0.00479819 0.0564481
0.18 0.00537927 0.0597682
0.19 0.00599355 0.0630883
0.2 0.00664104 0.0664082
0.21 0.00732172 0.069728
0.22 0.0080356 0.0730476
0.23 0.00878267 0.0763672
0.24 0.00956294 0.0796866
0.25 0.0103764 0.0830058
0.26 0.0112231 0.0863249
0.27 0.0121029 0.0896438
0.28 0.0130159 0.0929625
0.29 0.0139621 0.0962809
0.3 0.0149415 0.0995992
0.31 0.0159541 0.102917
0.32 0.0169999 0.106235
0.33 0.0180788 0.109552
0.34 0.0191909 0.112869
0.35 0.0203362 0.116186
0.36 0.0215147 0.119503
0.37 0.0227263 0.122819
0.38 0.023971 0.126135
0.39 0.025249 0.12945
0.4 0.02656 0.132765
0.41 0.0279043 0.136079
0.42 0.0292816 0.139393
0.43 0.0306921 0.142707
0.44 0.0321358 0.14602
0.45 0.0336125 0.149333
0.46 0.0351224 0.152644
0.47 0.0366654 0.155956
0.48 0.0382415 0.159267
0.49 0.0398507 0.162577
0.5 0.0414931 0.165886
0.51 0.0431685 0.169195
0.52 0.044877 0.172503
0.53 0.0466185 0.17581
0.54 0.0483932 0.179117
0.55 0.0502009 0.182423
0.56 0.0520416 0.185728
0.57 0.0539154 0.189032
0.58 0.0558222 0.192335
0.59 0.0577621 0.195637
0.6 0.059735 0.198938
0.61 0.0617409 0.202239
0.62 0.0637797 0.205538
0.63 0.0658516 0.208836
0.64 0.0679565 0.212133
0.65 0.0700943 0.215429
0.66 0.072265 0.218724
0.67 0.0744688 0.222018
0.68 0.0767054 0.22531
0.69 0.078975 0.228602
0.7 0.0812774 0.231892
0.71 0.0836128 0.23518
0.72 0.085981 0.238467
0.73 0.0883821 0.241753
0.74 0.0908161 0.245037
0.75 0.0932829 0.24832
0.76 0.0957825 0.251602
0.77 0.0983149 0.254881
0.78 0.10088 0.258159
0.79 0.103478 0.261436
0.8 0.106109 0.264711
0.81 0.108772 0.267984
0.82 0.111468 0.271255
0.83 0.114197 0.274524
0.84 0.116959 0.277792
0.85 0.119753 0.281058
0.86 0.12258 0.284321
0.87 0.12544 0.287583
0.88 0.128332 0.290843
0.89 0.131256 0.2941
0.9 0.134214 0.297356
0.91 0.137204 0.300609
0.92 0.140226 0.30386
0.93 0.143281 0.307109
0.94 0.146368 0.310355
0.95 0.149488 0.313599
0.96 0.15264 0.316841
0.97 0.155825 0.32008
0.98 0.159042 0.323316
0.99 0.162291 0.32655
1 0.165573 0.329782
1.01 0.168887 0.333011
1.02 0.172233 0.336237
1.03 0.175611 0.33946
1.04 0.179022 0.34268
1.05 0.182465 0.345898
1.06 0.18594 0.349112
1.07 0.189447 0.352324
1.08 0.192986 0.355533
1.09 0.196558 0.358738
1.1 0.200161 0.36194
1.11 0.203797 0.36514
1.12 0.207464 0.368335
1.13 0.211163 0.371528
1.14 0.214895 0.374717
1.15 0.218658 0.377903
1.16 0.222453 0.381085
1.17 0.226279 0.384264
1.18 0.230138 0.387439
1.19 0.234028 0.390611
1.2 0.23795 0.393778
1.21 0.241904 0.396942
1.22 0.245889 0.400103
1.23 0.249906 0.403259
1.24 0.253954 0.406411
1.25 0.258034 0.40956
1.26 0.262145 0.412704
1.27 0.266288 0.415844
1.28 0.270462 0.41898
1.29 0.274668 0.422112
1.3 0.278904 0.425239
1.31 0.283172 0.428362
1.32 0.287472 0.431481
1.33 0.291802 0.434595
1.34 0.296163 0.437705
1.35 0.300556 0.44081
1.36 0.30498 0.44391
1.37 0.309434 0.447006
1.38 0.31392 0.450097
1.39 0.318436 0.453183
1.4 0.322983 0.456264
1.41 0.327561 0.45934
1.42 0.33217 0.462412
1.43 0.33681 0.465478
1.44 0.34148 0.468539
1.45 0.34618 0.471594
1.46 0.350912 0.474645
1.47 0.355673 0.47769
1.48 0.360465 0.480729
1.49 0.365288 0.483763
1.5 0.370141 0.486792
1.51 0.375024 0.489815
1.52 0.379937 0.492832
1.53 0.38488 0.495844
1.54 0.389854 0.49885
1.55 0.394857 0.50185
1.56 0.399891 0.504844
1.57 0.404954 0.507832
1.58 0.410047 0.510814
1.59 0.41517 0.51379
1.6 0.420323 0.51676
1.61 0.425506 0.519723
1.62 0.430718 0.52268
1.63 0.435959 0.525631
1.64 0.44123 0.528576
1.65 0.446531 0.531514
1.66 0.45186 0.534445
1.67 0.457219 0.53737
1.68 0.462608 0.540288
1.69 0.468025 0.543199
1.7 0.473472 0.546104
1.71 0.478947 0.549001
1.72 0.484452 0.551892
1.73 0.489985 0.554776
1.74 0.495547 0.557653
1.75 0.501138 0.560522
1.76 0.506758 0.563385
1.77 0.512406 0.56624
1.78 0.518082 0.569088
1.79 0.523788 0.571928
1.8 0.529521 0.574761
1.81 0.535283 0.577587
1.82 0.541073 0.580405
1.83 0.546891 0.583215
1.84 0.552737 0.586018
1.85 0.558611 0.588813
1.86 0.564513 0.5916
1.87 0.570443 0.59438
1.88 0.576401 0.597151
1.89 0.582386 0.599914
1.9 0.588399 0.60267
1.91 0.594439 0.605417
1.92 0.600507 0.608156
1.93 0.606603 0.610887
1.94 0.612725 0.61361
1.95 0.618875 0.616324
1.96 0.625052 0.61903
1.97 0.631255 0.621728
1.98 0.637486 0.624417
1.99 0.643744 0.627097
2 0.650028 0.629769
2.01 0.656339 0.632432
2.02 0.662677 0.635087
2.03 0.669041 0.637732
2.04 0.675431 0.640369
2.05 0.681848 0.642997
2.06 0.688291 0.645616
2.07 0.69476 0.648226
2.08 0.701256 0.650827
2.09 0.707777 0.653419
2.1 0.714324 0.656002
2.11 0.720897 0.658575
2.12 0.727495 0.661139
2.13 0.73412 0.663694
2.14 0.740769 0.66624
2.15 0.747444 0.668776
2.16 0.754145 0.671303
2.17 0.76087 0.67382
2.18 0.767621 0.676328
2.19 0.774397 0.678826
2.2 0.781198 0.681314
2.21 0.788023 0.683793
2.22 0.794873 0.686262
2.23 0.801748 0.688721
2.24 0.808648 0.69117
2.25 0.815572 0.693609
2.26 0.82252 0.696039
2.27 0.829492 0.698458
2.28 0.836489 0.700868
2.29 0.84351 0.703267
2.3 0.850554 0.705657
2.31 0.857623 0.708036
2.32 0.864715 0.710405
2.33 0.871831 0.712764
2.34 0.87897 0.715112
2.35 0.886133 0.71745
2.36 0.893319 0.719778
2.37 0.900529 0.722096
2.38 0.907761 0.724403
2.39 0.915017 0.7267
2.4 0.922295 0.728986
